Category,Crop,Name of Variety,Variety/Hybrid,Sponsoring organization,State,Description,Extra
CEREALS,Rice,DRR Dhan 73 (IET 30242),Open pollinated Variety,"ICAR – Indian Institute of Rice Research, Rajendranagar, Hyderabad",Karnataka,"Suitable for irrigated andrainfed shallow low land areas with low soil P for bothKharifandRabi,yield 60 q/ ha (under normal conditions; 60 kg/ha of P i.e. recommended dose), 40 q/ ha (under low P; 40 kg/ha of P) and 40.0 q/ ha (under low Phosphorus; 0 kg/ha of P), maturity 120-125 days, moderately resistant toleafblast",
CEREALS,Rice,DRR Dhan 73 (IET 30242),Open pollinated Variety,"ICAR – Indian Institute of Rice Research, Rajendranagar, Hyderabad",Odisha,"Suitable for irrigated andrainfed shallow low land areas with low soil P for bothKharifandRabi,yield 60 q/ ha (under normal conditions; 60 kg/ha of P i.e. recommended dose), 40 q/ ha (under low P; 40 kg/ha of P) and 40.0 q/ ha (under low Phosphorus; 0 kg/ha of P), maturity 120-125 days, moderately resistant toleafblast",
CEREALS,Rice,DRR Dhan 73 (IET 30242),Open pollinated Variety,"ICAR – Indian Institute of Rice Research, Rajendranagar, Hyderabad",Telangana,"Suitable for irrigated andrainfed shallow low land areas with low soil P for bothKharifandRabi,yield 60 q/ ha (under normal conditions; 60 kg/ha of P i.e. recommended dose), 40 q/ ha (under low P; 40 kg/ha of P) and 40.0 q/ ha (under low Phosphorus; 0 kg/ha of P), maturity 120-125 days, moderately resistant toleafblast",
CEREALS,Rice,DRR Dhan 74 (IET 30252),Open pollinated Variety,"ICAR-Indian Institute of Rice Research, Rajendranagar, Hyderabad",Karnataka,"Suitable for irrigated andrainfed shallow low land areas with low soil P for bothKharifandRabi, yield 70 q/ ha (under normal conditions; 60 kg/ha of P i.e. recommended dose), 44 q/ ha (under low P; 40 kg/ha of P) and 45.6 q/ ha (under low Phosphorus; 0 kg/ha of P), maturity 130-135 days, moderately tolerant to leaf blast, neck blast, sheath rot, plant hoppers",
CEREALS,Rice,DRR Dhan 74 (IET 30252),Open pollinated Variety,"ICAR-Indian Institute of Rice Research, Rajendranagar, Hyderabad",Maharashtra,"Suitable for irrigated andrainfed shallow low land areas with low soil P for bothKharifandRabi, yield 70 q/ ha (under normal conditions; 60 kg/ha of P i.e. recommended dose), 44 q/ ha (under low P; 40 kg/ha of P) and 45.6 q/ ha (under low Phosphorus; 0 kg/ha of P), maturity 130-135 days, moderately tolerant to leaf blast, neck blast, sheath rot, plant hoppers",
CEREALS,Rice,DRR Dhan 74 (IET 30252),Open pollinated Variety,"ICAR-Indian Institute of Rice Research, Rajendranagar, Hyderabad",Telangana,"Suitable for irrigated andrainfed shallow low land areas with low soil P for bothKharifandRabi, yield 70 q/ ha (under normal conditions; 60 kg/ha of P i.e. recommended dose), 44 q/ ha (under low P; 40 kg/ha of P) and 45.6 q/ ha (under low Phosphorus; 0 kg/ha of P), maturity 130-135 days, moderately tolerant to leaf blast, neck blast, sheath rot, plant hoppers",
CEREALS,Rice,DRR Dhan 74 (IET 30252),Open pollinated Variety,"ICAR-Indian Institute of Rice Research, Rajendranagar, Hyderabad",Jharkhand,"Suitable for irrigated andrainfed shallow low land areas with low soil P for bothKharifandRabi, yield 70 q/ ha (under normal conditions; 60 kg/ha of P i.e. recommended dose), 44 q/ ha (under low P; 40 kg/ha of P) and 45.6 q/ ha (under low Phosphorus; 0 kg/ha of P), maturity 130-135 days, moderately tolerant to leaf blast, neck blast, sheath rot, plant hoppers",
CEREALS,Rice,DRR Dhan 74 (IET 30252),Open pollinated Variety,"ICAR-Indian Institute of Rice Research, Rajendranagar, Hyderabad",regions with P deficit soil of India,"Suitable for irrigated andrainfed shallow low land areas with low soil P for bothKharifandRabi, yield 70 q/ ha (under normal conditions; 60 kg/ha of P i.e. recommended dose), 44 q/ ha (under low P; 40 kg/ha of P) and 45.6 q/ ha (under low Phosphorus; 0 kg/ha of P), maturity 130-135 days, moderately tolerant to leaf blast, neck blast, sheath rot, plant hoppers",
CEREALS,Rice,DRR Dhan 78 (IET 30240),Open pollinated Variety,"ICAR – Indian Institute of Rice Research, Rajendranagar, Hyderabad",Karnataka,"Suitable for irrigated and rainfed shallow low land areas withlow soil P for bothKharifandRabi, yield 58 q/ ha (under normal conditions; 60 kg/ha of P i.e. recommended dose), 46 q/ ha (under low P; 40 kg/ha of P) and 40.0 q/ ha (under low Phosphorus; 0 kg/ha of P), maturity 120-125 days, moderately resistant to leaf blast and plant hoppers",
CEREALS,Rice,DRR Dhan 78 (IET 30240),Open pollinated Variety,"ICAR – Indian Institute of Rice Research, Rajendranagar, Hyderabad",Telangana,"Suitable for irrigated and rainfed shallow low land areas withlow soil P for bothKharifandRabi, yield 58 q/ ha (under normal conditions; 60 kg/ha of P i.e. recommended dose), 46 q/ ha (under low P; 40 kg/ha of P) and 40.0 q/ ha (under low Phosphorus; 0 kg/ha of P), maturity 120-125 days, moderately resistant to leaf blast and plant hoppers",
CEREALS,Rice,KKL (R) 4 (IET 30697)(KR 19011),Open pollinated Variety,"ICAR-AICRP on Rice, Pandit Jawaharlal Nehru College of Agriculture and Research Institute Karaikal, Puducherry (U.T.)",Tamil Nadu,"Suitable forsubmergence stress conditions, yield 38q/ha under stress situations and 56 q/ha under normal conditions, maturity mid-early (120-125 days), MASderivedNIL entryofADT39*4/SwarnaSub1introgressedwithQTLSub1for submergence tolerance, moderately resistant to leaf blast",
CEREALS,Rice,KKL (R) 4 (IET 30697)(KR 19011),Open pollinated Variety,"ICAR-AICRP on Rice, Pandit Jawaharlal Nehru College of Agriculture and Research Institute Karaikal, Puducherry (U.T.)",Andhra Pradesh,"Suitable forsubmergence stress conditions, yield 38q/ha under stress situations and 56 q/ha under normal conditions, maturity mid-early (120-125 days), MASderivedNIL entryofADT39*4/SwarnaSub1introgressedwithQTLSub1for submergence tolerance, moderately resistant to leaf blast",
CEREALS,Rice,KKL (R) 4 (IET 30697)(KR 19011),Open pollinated Variety,"ICAR-AICRP on Rice, Pandit Jawaharlal Nehru College of Agriculture and Research Institute Karaikal, Puducherry (U.T.)",Telangana,"Suitable forsubmergence stress conditions, yield 38q/ha under stress situations and 56 q/ha under normal conditions, maturity mid-early (120-125 days), MASderivedNIL entryofADT39*4/SwarnaSub1introgressedwithQTLSub1for submergence tolerance, moderately resistant to leaf blast",
CEREALS,Rice,KKL (R) 4 (IET 30697)(KR 19011),Open pollinated Variety,"ICAR-AICRP on Rice, Pandit Jawaharlal Nehru College of Agriculture and Research Institute Karaikal, Puducherry (U.T.)",Puduchery,"Suitable forsubmergence stress conditions, yield 38q/ha under stress situations and 56 q/ha under normal conditions, maturity mid-early (120-125 days), MASderivedNIL entryofADT39*4/SwarnaSub1introgressedwithQTLSub1for submergence tolerance, moderately resistant to leaf blast",
CEREALS,Wheat,Pusa Gehun Sharbati (HI 1665),Open pollinated Variety,"ICAR-Indian Agricultural Research Institute Regional Station, Indore, Madhya Pradesh",Maharashtra,"Suitable for timely sown,restricted irrigated condition, yield 33.0 q/ha, maturity 110 days, tolerant to heat and drought (heat sensitivity index 0.98 anddrought sensitivity index 0.91), excellent grain quality, bio-fortified with higher grain zinc content (40.0 ppm), resistant to leaf and stem rust",
CEREALS,Wheat,Pusa Gehun Sharbati (HI 1665),Open pollinated Variety,"ICAR-Indian Agricultural Research Institute Regional Station, Indore, Madhya Pradesh",Karnataka,"Suitable for timely sown,restricted irrigated condition, yield 33.0 q/ha, maturity 110 days, tolerant to heat and drought (heat sensitivity index 0.98 anddrought sensitivity index 0.91), excellent grain quality, bio-fortified with higher grain zinc content (40.0 ppm), resistant to leaf and stem rust",
CEREALS,Wheat,Pusa Gehun Sharbati (HI 1665),Open pollinated Variety,"ICAR-Indian Agricultural Research Institute Regional Station, Indore, Madhya Pradesh",Plains of Tamil Nadu,"Suitable for timely sown,restricted irrigated condition, yield 33.0 q/ha, maturity 110 days, tolerant to heat and drought (heat sensitivity index 0.98 anddrought sensitivity index 0.91), excellent grain quality, bio-fortified with higher grain zinc content (40.0 ppm), resistant to leaf and stem rust",
CEREALS,Durum Wheat,Pusa Gehun Gaurav(HI- 8840),Open Pollinated Variety,"Maharashtra, Karnataka and plains of Tamil Nadu",ICAR- Indian Agricultural Research Institute Regional Station,"Suitable for irrigated conditions durum wheat variety, average grain yield  30.2 q/ha,terminal heat tolerant,resistance to stem and leaf rusts, biofortified durum wheat withhigher zinc(41.1 ppm) and iron (38.5 ppm) and protein content (~12%)",
CEREALS,Durum Wheat,Pusa Gehun Gaurav(HI- 8840),Open Pollinated Variety,"Maharashtra, Karnataka and plains of Tamil Nadu",Indore- Madhya Pradesh,"Suitable for irrigated conditions durum wheat variety, average grain yield  30.2 q/ha,terminal heat tolerant,resistance to stem and leaf rusts, biofortified durum wheat withhigher zinc(41.1 ppm) and iron (38.5 ppm) and protein content (~12%)",
CEREALS,Barley,DWRB-219,Open Pollinated Variety,"Punjab, Haryana, Delhi, Rajasthan, (excluding Kota and Udaipur division), Western Uttar Pradesh (except Jhansi division), Jammu and Kathua district of Jammu and Kashmir, Paonta Valley and Una district of Himachal Pradesh and tarai region of Uttarakhand",ICAR- IIWBR (Indian Institute of Wheat & Barley Research) Karnal- Haryana,"Irrigated/ limited irrigationcondition of NWPZ,average yield54.49 q/ha,Maturity132 days, Resistant to yellow rustand moderately resistant for leaf rustdisease of barley, : Tolerant to lodging,Protein content: 11.4%",
CEREALS,Maize,Pusa Popcorn Hybrid – 1 (APCH 2),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Punjab,"Suitable for irrigatedRabiecology, yield: 46.04 q/ha (NWPZ), 47.17 q/ha (PZ), maturity 120.2 days (NWPZ), 102.1 days (PZ),higher popping percentage (97.3% in NWPZ and 98.3% in PZ) and popping expansion ratio (18), resistant to moderately resistant to charcoal rot",
CEREALS,Maize,Pusa Popcorn Hybrid – 1 (APCH 2),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Haryana,"Suitable for irrigatedRabiecology, yield: 46.04 q/ha (NWPZ), 47.17 q/ha (PZ), maturity 120.2 days (NWPZ), 102.1 days (PZ),higher popping percentage (97.3% in NWPZ and 98.3% in PZ) and popping expansion ratio (18), resistant to moderately resistant to charcoal rot",
CEREALS,Maize,Pusa Popcorn Hybrid – 1 (APCH 2),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Delhi,"Suitable for irrigatedRabiecology, yield: 46.04 q/ha (NWPZ), 47.17 q/ha (PZ), maturity 120.2 days (NWPZ), 102.1 days (PZ),higher popping percentage (97.3% in NWPZ and 98.3% in PZ) and popping expansion ratio (18), resistant to moderately resistant to charcoal rot",
CEREALS,Maize,Pusa Popcorn Hybrid – 1 (APCH 2),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Uttarakhand (Plain),"Suitable for irrigatedRabiecology, yield: 46.04 q/ha (NWPZ), 47.17 q/ha (PZ), maturity 120.2 days (NWPZ), 102.1 days (PZ),higher popping percentage (97.3% in NWPZ and 98.3% in PZ) and popping expansion ratio (18), resistant to moderately resistant to charcoal rot",
CEREALS,Maize,Pusa Popcorn Hybrid – 1 (APCH 2),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Uttar Pradesh (Western region),"Suitable for irrigatedRabiecology, yield: 46.04 q/ha (NWPZ), 47.17 q/ha (PZ), maturity 120.2 days (NWPZ), 102.1 days (PZ),higher popping percentage (97.3% in NWPZ and 98.3% in PZ) and popping expansion ratio (18), resistant to moderately resistant to charcoal rot",
CEREALS,Maize,Pusa Popcorn Hybrid – 1 (APCH 2),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Maharashtra,"Suitable for irrigatedRabiecology, yield: 46.04 q/ha (NWPZ), 47.17 q/ha (PZ), maturity 120.2 days (NWPZ), 102.1 days (PZ),higher popping percentage (97.3% in NWPZ and 98.3% in PZ) and popping expansion ratio (18), resistant to moderately resistant to charcoal rot",
CEREALS,Maize,Pusa Popcorn Hybrid – 1 (APCH 2),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Karnataka,"Suitable for irrigatedRabiecology, yield: 46.04 q/ha (NWPZ), 47.17 q/ha (PZ), maturity 120.2 days (NWPZ), 102.1 days (PZ),higher popping percentage (97.3% in NWPZ and 98.3% in PZ) and popping expansion ratio (18), resistant to moderately resistant to charcoal rot",
CEREALS,Maize,Pusa Popcorn Hybrid – 1 (APCH 2),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Andhra Pradesh,"Suitable for irrigatedRabiecology, yield: 46.04 q/ha (NWPZ), 47.17 q/ha (PZ), maturity 120.2 days (NWPZ), 102.1 days (PZ),higher popping percentage (97.3% in NWPZ and 98.3% in PZ) and popping expansion ratio (18), resistant to moderately resistant to charcoal rot",
CEREALS,Maize,Pusa Popcorn Hybrid – 1 (APCH 2),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Telangana,"Suitable for irrigatedRabiecology, yield: 46.04 q/ha (NWPZ), 47.17 q/ha (PZ), maturity 120.2 days (NWPZ), 102.1 days (PZ),higher popping percentage (97.3% in NWPZ and 98.3% in PZ) and popping expansion ratio (18), resistant to moderately resistant to charcoal rot",
CEREALS,Maize,Pusa Popcorn Hybrid – 1 (APCH 2),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Tamil Nadu,"Suitable for irrigatedRabiecology, yield: 46.04 q/ha (NWPZ), 47.17 q/ha (PZ), maturity 120.2 days (NWPZ), 102.1 days (PZ),higher popping percentage (97.3% in NWPZ and 98.3% in PZ) and popping expansion ratio (18), resistant to moderately resistant to charcoal rot",
CEREALS,Maize,Pusa Bio fortified Maize Hybrid – 4 (APH4),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Punjab,"Suitable forKharifseason, yield 84.33 q/ha (NWPZ), 71.13 q/ha (PZ), 56.58 q/ha (CWZ), maturity 79.8 days (NWPZ), 93.9 days (PZ), 86.4 days (CWZ), rich inprovitamin-A (6.7 ppm), lysine (3.47%) and tryptophan (0.78%), resistant to moderately resistant to MLB, BLSB, TLB",
CEREALS,Maize,Pusa Bio fortified Maize Hybrid – 4 (APH4),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Haryana,"Suitable forKharifseason, yield 84.33 q/ha (NWPZ), 71.13 q/ha (PZ), 56.58 q/ha (CWZ), maturity 79.8 days (NWPZ), 93.9 days (PZ), 86.4 days (CWZ), rich inprovitamin-A (6.7 ppm), lysine (3.47%) and tryptophan (0.78%), resistant to moderately resistant to MLB, BLSB, TLB",
CEREALS,Maize,Pusa Bio fortified Maize Hybrid – 4 (APH4),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Delhi,"Suitable forKharifseason, yield 84.33 q/ha (NWPZ), 71.13 q/ha (PZ), 56.58 q/ha (CWZ), maturity 79.8 days (NWPZ), 93.9 days (PZ), 86.4 days (CWZ), rich inprovitamin-A (6.7 ppm), lysine (3.47%) and tryptophan (0.78%), resistant to moderately resistant to MLB, BLSB, TLB",
CEREALS,Maize,Pusa Bio fortified Maize Hybrid – 4 (APH4),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Uttarakhand (Plain),"Suitable forKharifseason, yield 84.33 q/ha (NWPZ), 71.13 q/ha (PZ), 56.58 q/ha (CWZ), maturity 79.8 days (NWPZ), 93.9 days (PZ), 86.4 days (CWZ), rich inprovitamin-A (6.7 ppm), lysine (3.47%) and tryptophan (0.78%), resistant to moderately resistant to MLB, BLSB, TLB",
CEREALS,Maize,Pusa Bio fortified Maize Hybrid – 4 (APH4),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Uttar Pradesh (Western region),"Suitable forKharifseason, yield 84.33 q/ha (NWPZ), 71.13 q/ha (PZ), 56.58 q/ha (CWZ), maturity 79.8 days (NWPZ), 93.9 days (PZ), 86.4 days (CWZ), rich inprovitamin-A (6.7 ppm), lysine (3.47%) and tryptophan (0.78%), resistant to moderately resistant to MLB, BLSB, TLB",
CEREALS,Maize,Pusa Bio fortified Maize Hybrid – 4 (APH4),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Maharashtra,"Suitable forKharifseason, yield 84.33 q/ha (NWPZ), 71.13 q/ha (PZ), 56.58 q/ha (CWZ), maturity 79.8 days (NWPZ), 93.9 days (PZ), 86.4 days (CWZ), rich inprovitamin-A (6.7 ppm), lysine (3.47%) and tryptophan (0.78%), resistant to moderately resistant to MLB, BLSB, TLB",
CEREALS,Maize,Pusa Bio fortified Maize Hybrid – 4 (APH4),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Karnataka,"Suitable forKharifseason, yield 84.33 q/ha (NWPZ), 71.13 q/ha (PZ), 56.58 q/ha (CWZ), maturity 79.8 days (NWPZ), 93.9 days (PZ), 86.4 days (CWZ), rich inprovitamin-A (6.7 ppm), lysine (3.47%) and tryptophan (0.78%), resistant to moderately resistant to MLB, BLSB, TLB",
CEREALS,Maize,Pusa Bio fortified Maize Hybrid – 4 (APH4),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Andhra Pradesh,"Suitable forKharifseason, yield 84.33 q/ha (NWPZ), 71.13 q/ha (PZ), 56.58 q/ha (CWZ), maturity 79.8 days (NWPZ), 93.9 days (PZ), 86.4 days (CWZ), rich inprovitamin-A (6.7 ppm), lysine (3.47%) and tryptophan (0.78%), resistant to moderately resistant to MLB, BLSB, TLB",
CEREALS,Maize,Pusa Bio fortified Maize Hybrid – 4 (APH4),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Telangana,"Suitable forKharifseason, yield 84.33 q/ha (NWPZ), 71.13 q/ha (PZ), 56.58 q/ha (CWZ), maturity 79.8 days (NWPZ), 93.9 days (PZ), 86.4 days (CWZ), rich inprovitamin-A (6.7 ppm), lysine (3.47%) and tryptophan (0.78%), resistant to moderately resistant to MLB, BLSB, TLB",
CEREALS,Maize,Pusa Bio fortified Maize Hybrid – 4 (APH4),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Tamil Nadu,"Suitable forKharifseason, yield 84.33 q/ha (NWPZ), 71.13 q/ha (PZ), 56.58 q/ha (CWZ), maturity 79.8 days (NWPZ), 93.9 days (PZ), 86.4 days (CWZ), rich inprovitamin-A (6.7 ppm), lysine (3.47%) and tryptophan (0.78%), resistant to moderately resistant to MLB, BLSB, TLB",
CEREALS,Maize,Pusa Bio fortified Maize Hybrid – 4 (APH4),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Gujarat,"Suitable forKharifseason, yield 84.33 q/ha (NWPZ), 71.13 q/ha (PZ), 56.58 q/ha (CWZ), maturity 79.8 days (NWPZ), 93.9 days (PZ), 86.4 days (CWZ), rich inprovitamin-A (6.7 ppm), lysine (3.47%) and tryptophan (0.78%), resistant to moderately resistant to MLB, BLSB, TLB",
CEREALS,Maize,Pusa Bio fortified Maize Hybrid – 4 (APH4),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Madhya Pradesh,"Suitable forKharifseason, yield 84.33 q/ha (NWPZ), 71.13 q/ha (PZ), 56.58 q/ha (CWZ), maturity 79.8 days (NWPZ), 93.9 days (PZ), 86.4 days (CWZ), rich inprovitamin-A (6.7 ppm), lysine (3.47%) and tryptophan (0.78%), resistant to moderately resistant to MLB, BLSB, TLB",
CEREALS,Maize,Pusa Bio fortified Maize Hybrid – 4 (APH4),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Chhattisgarh,"Suitable forKharifseason, yield 84.33 q/ha (NWPZ), 71.13 q/ha (PZ), 56.58 q/ha (CWZ), maturity 79.8 days (NWPZ), 93.9 days (PZ), 86.4 days (CWZ), rich inprovitamin-A (6.7 ppm), lysine (3.47%) and tryptophan (0.78%), resistant to moderately resistant to MLB, BLSB, TLB",
CEREALS,Maize,Pusa Bio fortified Maize Hybrid – 4 (APH4),Hybrid,"ICAR – Indian Agricultural Research Institute, New Delhi",Rajasthan,"Suitable forKharifseason, yield 84.33 q/ha (NWPZ), 71.13 q/ha (PZ), 56.58 q/ha (CWZ), maturity 79.8 days (NWPZ), 93.9 days (PZ), 86.4 days (CWZ), rich inprovitamin-A (6.7 ppm), lysine (3.47%) and tryptophan (0.78%), resistant to moderately resistant to MLB, BLSB, TLB",
CEREALS,Maize,Pusa HM4 Male Sterile Baby Corn-2 (ABSH4-2),Hybrid,ICAR- Indian Agricultural Research Institute New Delhi,Bihar,"Suitable for irrigated conditions duringKharifseason, yield 19.56 q/ha (NEPZ), 14.07 q/ha (PZ) & 16.03 q/ha (CWZ), maturity 53 days,100% male sterility, no anther exertion, resistant to moderately resistant to charcoal rot",
CEREALS,Maize,Pusa HM4 Male Sterile Baby Corn-2 (ABSH4-2),Hybrid,ICAR- Indian Agricultural Research Institute New Delhi,Jharkhand,"Suitable for irrigated conditions duringKharifseason, yield 19.56 q/ha (NEPZ), 14.07 q/ha (PZ) & 16.03 q/ha (CWZ), maturity 53 days,100% male sterility, no anther exertion, resistant to moderately resistant to charcoal rot",
CEREALS,Maize,Pusa HM4 Male Sterile Baby Corn-2 (ABSH4-2),Hybrid,ICAR- Indian Agricultural Research Institute New Delhi,Odisha,"Suitable for irrigated conditions duringKharifseason, yield 19.56 q/ha (NEPZ), 14.07 q/ha (PZ) & 16.03 q/ha (CWZ), maturity 53 days,100% male sterility, no anther exertion, resistant to moderately resistant to charcoal rot",
