0,1,2,3,4,5,6,7
,Barnyard millet,VL Madira- 254,Open Pollinated Variety,"ICAR-Vivekananda Parvatiya KrishiAnusandhanSansthan, Almora, Uttarakhand",Uttarakhand,"Suitable forrainfed situations, average yield 1,719 kg/ha, matures in 101 days",
PULSES,,,,,,,
,Chickpea,Pant Gram 10 (PG 265),Open Pollinated Variety,"ICAR-AICRP on Pulses, G.B. Pant University of Agriculture and Technology, Pantnagar, Uttarakhand","Uttar Pradesh, Bihar, Jharkhand, West Bengal and Assam","Suitable fordesitimely sownrainfed / irrigatedconditions ofRabiseason in NEPZ, yield 17.79 q/ha, maturity 130 days, moderately resistant to wilt, collar rot, stunt, tolerant to pod borer",
,Chickpea,Nandyal Gram 1267 (NBeG 1267),Variety,"ICAR-AICRP on Pulses,  Main Centre, RARS, Nandyal, Acharya N G Ranga Agricultural University, Andhra Pradesh","South zone (Andhra Pradesh, Telangana, Karnataka and Tamil Nadu)","Suitable formechanical harvesting in rainfedasdesivariety duringRabi, could also be grown with 1-2 protected irrigations in normal fertility condition, yield of 20.95 q/ha, maturity early (90-95 days), seed protein 15.96%",
,Pigeon pea,Phule Pallavi (Phule Tur-12-19-2),Open Pollinated Variety,"ICAR-AICRP on Pulses, Mahatma Phule Krishi Vidyapeeth, Rahuri, Maharashtra","Maharashtra, Gujarat, Madhya Pradesh and Chhattisgarh during Kharif","Suitable for normal sownrainfed/irrigated areasof Cenrtal Zone inKharifseason, yield 21.45 q/ha, mid-early 157-159 days, moderately resistant wilt and sterility mosaic disease",
,Pigeonpea,NAAM-88,Variety,"ICAR-AICRP on Pulses, University of Agricultural Sciences, Raichur, Karnataka","Karnataka, Telangana, Andhra Pradesh, Tamil Nadu","Suitable forrainfed/irrigated areas inKharifseason, yield 14.90 q/ha, maturity early (142 days), moderately resistant to wilt",
,Lentil,Pant Lentil 14 (PL 320),Open Pollinated Variety,"ICAR-AICRP on Pulses, G.B. Pant University of Agriculture and Technology, Pantnagar, Uttarakhand","Punjab, Haryana, Delhi, North-West & Central Rajasthan, Western Uttar Pradesh, Plains of Uttarakhand and Jammu and Kashmir","Suitable for timely sownrainfed / irrigatedconditions ofRabiseason in NWPZ, yield 15.55 q/ha, maturity 128 days, high seedprotein content (25.72%),resistant to rust,Stemplyliumblight, moderately resistant to wilt,Ascochytablight, moderately resistant to pod borer, aphid",
,Lentil,RKL 20-26(D) Kota Masoor 6,Variety,"ICAR-AICRP on Pulses, Agricultural  University, Kota, Rajasthan",North Western Plain Zone and Central Zone of India,"Suitable forrainfed normal sown conditionsinRabiseason, yield 17.37 q/ha in NWPZ, 16.0 q/ha in CZ, maturity 125 days (NWPZ), 111 days (CZ), protein (21.07 %), moderately resistant to rust and wilt",
,Lentil,PSL-17,Open Pollinated Variety,National Capital Region of Delhi,"Division of Genetics, ICAR-Indian Agricultural Research Institute, New Delhi","Suitable for salinity conditions,seed yield 12.95 q/ha, maturity 125 days,iron  67.0 ppm, zinc 41 ppm,protein 28.8%, moderately resistant to wilt and rust",
,Field pea,Pant Pea 484,Open Pollinated Variety,"ICAR-AICRP on Pulses, G.B. Pant University of Agriculture and Technology, Pantnagar, Uttarakhand","Punjab, Haryana, Delhi, North-West & Central Rajasthan, Western Uttar Pradesh, Plains of Uttarakhand and Jammu and Kashmir","Suitable for timely sownrainfed / irrigatedconditions ofRabiseason in NWPZ, yield 23.33 q/ha, maturity 120 days, protein content 26.17%, resistant toAscochytablight, moderately resistant to rust, powdery mildew, moderately resistant to aphid, pod borer",
,Faba bean,HFB-3 (HB 14-21),Variety,"ICAR-AICRP on Pulses, CCS Haryana Agricultural University, Hisar, Haryana","Northern plain zone of the country (Haryana, Punjab, Delhi) & Central Zone (Uttar Pradesh and Chhattisgarh).","Suitable for irrigated, timely sownRabiseason in high fertility conditions, yield 23.65 q/ha, medium maturity (129 – 137 days), seedprotein 28.05%,moderately resistant toAlternarialeaf blight, root rot",
,Mungbean,Lam Pesara 610 (LGG 610),Variety,"ICAR-AICRP on Pulses, RARS, Lam, Guntur, Acharya N.G. Ranga Agricultural University. Andhra Pradesh","South zone states, Andhra Pradesh, Telangana, Tamilnadu, Karnataka, Kerala and Odisha during rabi season for both rice fallows and upland conditions","Suitable forrice fallows and upland situationsduringRabiseason for mechanical harvesting, yield 11.17 q/ha, maturity 74 days, protein (23.16%), resistant to mungbean yellow mosaic virus",
,Mungbean,PMS-8,Open Pollinated Variety,National Capital Region of Delhi,"Division of Genetics, ICAR-Indian Agricultural Research Institute, New Delhi","Suitable forSalt affected conditions[ECe 5.8-6.5 dS/m], Average seed yield 494.5 q/ha, Matures in 70 days",
OILSEEDS,,,,,,,
,Safflower,ISF-123-sel-15,Variety,"ICAR-Indian Institute of Oilseeds Research, Hyderabad, Telangana","Karnataka, Maharashtra, Andhra Pradesh, and Telangana","Suitable forlate sown rainfed condition, yield 16.31 q/ha, maturity 127 days, oil content high (34.3%), resistant toFusariumwilt, moderately tolerant to highly susceptible aphid infestations",
,Safflower,ISF-300,Variety,"ICAR-Indian Institute of Oilseeds Research, Hyderabad, Telangana","Maharashtra, Karnataka, Andhra Pradesh, Telangana, Madhya Pradesh, Chhattisgarh","Suitablefor timely sown rainfed/irrigatedcondition, yield17.96 q/ha, maturity134 days, oil content 38.2%,resistant toFusariumwilt",
,Soybean,NRC 197,,"ICAR-Indian Institute of Soybean Research, Indore, Madhya Pradesh",Himachal Pradesh and Uttarakhand,"Suitable forrainfedKharifseason, yield 16.24 q/ha, maturity 112.67 days, non-shattering, tolerant to lodging, resistant to insect-pest complex, resistant to stem fly, highly resistant to semilooper, moderately resistant toSpodoptera litura",
,Soybean,NRC 149,,"ICAR-Indian Institute of Soybean Research, Indore, Madhya Pradesh","Punjab, Haryana, Delhi, North Eastern Plains of Uttar Pradesh, Plains of Uttarakhand and Eastern Bihar","Suitable forrainfedKharifseason,yield 24.0 q/ha, maturity 127 days, non-shattering, non-lodging, highly resistant to stemfly, defoliators, white fly, YMV, pod blight,Rhizoctoniaaerial blight",
,Groundnut,Girnar 6 (NRCGCS 637),,"ICAR-Directorate of Groundnut Research, Junagadh, Gujarat","Recommended for Zone I (Rajasthan, Uttar Pradesh, Punjab states and Haryana) of India","Suitable for timely sownKharifseason, yield 30.30 q/ha, maturity123 days, oil content 51%, protein content 28%, moderately tolerant toearly and late seasons drought, moderately resistant to early leaf spot, rust,Alternariablight, collar rot, stem rot, dry root rot, less incidence of leaf hoppers, thrips,Spodoptera",
,Groundnut,TCGS 1707 (ICAR KONARK) Spanish Bunch,,"ICAR-AICRP on Groundnut, Acharya N.G. Ranga Agricultural University, Tirupati, Andhra Pradesh",Odisha and West Bengal,"Suitable for timelysown rainfed/ irrigatedKharif,yield 24.76 q/ha, maturity 110-115 days, oil content 49%, protein content29%, moderately resistant to foliar diseases (LLS and Rust), soil borne diseases (collar rot, stem rot and dry root rot), moderately resistant to sucking pests (LH and thrips)",
,Sesame,Tanjila (CUMS-09A),Open Pollinated Variety,"ICAR-AICRP on Oilseeds, Institute of Agricultural Science, University of Calcutta, Kolkata, West Bengal","West Bengal, Bihar, Odisha, Maharashtra, Chhattisgarh, Telangana, Karnataka, Tamil Nadu and Kerala","Suitable for irrigated,summer crop with early or late sown condition,seed yield 963 kg/ha - 1147.7 kg/ha, oil yield 438.5 kg/ha - 558.0 kg/ha, oil content 46.17%, maturity 91days, high degree of resistance to diseases like root rot, phyllody and powdery mildew, no major insect pests are reported",
FORAGE CROPS,,,,,,,
,Forage Pearl Millet,JPM 18-7 (Jawahar Pearl Millet 18-7),Open Pollinated Variety,"ICAR-AICRP on Forage Crops, Jawahar Lal Nehru Krishi Viswha Vidyalaya, Jabalpur, Madhya Pradesh","Rajasthan, Punjab, Haryana, Gujarat, Madhya Pradesh,Maharashtra, Uttar Pradesh, Chhattisgarh, Telangana, Andhra Pradesh, Tamil Nadu and Karnataka","Suitable forrainfed/ irrigatedunder normal fertility condition during rainy season, yield 440-480 q/ha (green fodder), maturity 120-130 days, moderately resistance to leaf blast, grasshopper, Pyrilla and leaf defoliators",
,Berseem,Jawahar berseem 08-17 (JB 08-17),Open Pollinated Variety,"ICAR-AICRP on Forage Crops, Jawahar Lal Nehru Krishi Viswha Vidyalaya, Jabalpur, Madhya Pradesh","Madhya Pradesh, Maharashtra, Gujarat, Chhattisgarh and Uttar Pradesh","Suitable for irrigatedmulti-cutduring winter season, yield 620-650 q/ha (green fodder), maturity 190-200 days, tolerance for leaf spot and blight",
,Forage Multicut Oat,Him Palam Forage Oat-1 (PLP-24),Open Pollinated Variety,"ICAR-AICRP on Forage Crops,  CSK Himachal Pradesh Krishi Viswhavidyalaya, Palampur, Himachal Pradesh","Himachal Pradesh, Jammu and Kashmir and Uttarakhand","Suitable for timely sown, normal fertility and irrigated condition, yield 260-300 q/ha (green fodder yield), maturity 180-185 days,resistant to powdery mildew",
,Oat,Jawahar Oat 13-513 (JO- 13-513),Open Pollinated Variety,"ICAR-AICRP on Forage Crops, Jawahar Lal Nehru Krishi Viswha Vidyalaya, Jabalpur, Madhya Pradesh","Punjab, Haryana, Uttar Pradesh, Uttarakhand, Odisha, Bihar, Jharkhand, Assam and Uttar Pradesh","Suitable for Oat growing areas of eastern and north-western zone, yield 225-250 q/ha (green fodder yield), maturity 135-145 days, moderately resistance to leaf blight",
,Forage Maize,Pusa Forage Maize Hybrid-1 (AFH-7),Hybrid,"ICAR-Indian Agricultural Research Institute, New Delhi","Tarai region of Uttarakhand, Punjab, Haryana and Rajasthan","Suitable for irrigated, Kharif season, green fodder yield 413.1 q/ha, maturity 95-105 days,higher acid detergent fiber (ADF) - 41.9%, neutral detergent fiber (NDF) - 62.5%,In-Vitrodry matter digestibility (IVDMD) - 56.4%, resistant to Maydis leaf blight (MLB),moderately resistant toChilo partellus",
,Fodder Maize,HQPM 28,Hybrid,"ICAR-AICRP on Forage Crops, CCSHaryana Agricultural University, Regional Research Station, Karnal, Haryana","All fodder growing areas of Central Zone (Uttar Pradesh (Bundelkhand region), Maharashtra, Madhya Pradesh, Chhattisgarh)","Suitable for Central Zone during Kharifseason, yield 427.6 q/ha (green fodder), 79.06 q/ha (dry matter), 20.9 q/ha (seed yield), 7.0 q/ha (crude protein), maturity 98 days, three-wayQuality Protein Maize (QPM) hybrid,good for silage, resistant toMaydisleaf blight, BLSB and at par with checks for resistance against fall army worm",
,Forage Sorghum,CSV 57F (SPV 2801) (UTFS 111),Open Pollinated Variety,"ICAR-AICRP on Forage Crops, G.B. Pant University of Agriculture & Technology, Pantnagar","Haryana, Punjab, Uttarakhand, Gujarat, Uttar Pradesh, Rajasthan and Delhi","Suitable forrainfedKharif,yield - 435q/ha (green fodder); 139q/ha (dry fodder), maturity130-135 tolerant to major leaf disease viz. grey leaf spot, sooty stripe,Anthracnose, zonate leaf spot, tolerant to shoot fly, stem borer",
SUGARCANE,,,,,,,
,Sugarcane,Karan 17(Co 17018),Variety,"ICAR-Sugarcane Breeding Institute, Coimbatore, Tamil Nadu","North West Zone (Haryana, Punjab, western and central Uttar Pradesh, Rajasthan, Uttarakhand)","Suitable for irrigated timely to late sown season,yield914.8 q/ha, maturity 330-360 days,sucrose18.38%, CCS 12.78%,tolerant to salinity, resistant to moderately resistant to red rot, resistant to susceptible to smut, mostly resistant to moderately resistant to YLD, least susceptible to shoot borer, stalk borer and top borer",
,Sugarcane,IKHSU-16 (CoLk 16202),Open Pollinated Variety,"ICAR- Indian Institute of Sugarcane Research, Lucknow, Uttar Pradesh","Punjab, Haryana, Uttarakhand, Rajasthan, Central and Western Parts of Uttar Pradesh","Suitable for irrigated condition, yield 932 q/ha,sucrose (%) 17.74, CCS 114.3 q/ha, maturity early(10 months),tolerant to drought,moderately resistant to CF08 and CF13 of red rot pathogen, smut, wilt",
,Sugarcane,IKHSU-17 (CoLk 16470),Open Pollinated Variety,"ICAR- Indian Institute of Sugarcane Research, Lucknow, Uttar Pradesh","Eastern Part of Uttar Pradesh, Bihar, Jharkhand, West Bengal and Assam","Suitable for irrigated condition, yield 825.0 q/ha, CCS yield 95. 9 q/ha, sucrose 17.37%, maturity 360 days, excellent performance under waterlogged condition, moderately resistant to red rot, smut, least susceptible to major insect-pests",
,Sugarcane,CoPb 99 (CoPb 17215),Open Pollinated Variety,"ICAR-AICRP on Sugarcane, PAU Regional Research Station, Kapurthala, Punjab","Punjab, Haryana, Uttarakhand, Rajasthan, Central and Western Parts of Uttar Pradesh","Suitable for growing in medium and high fertile soil under irrigated subtropical climatic conditions during spring season, yield - CCS 112.7 q/ha, meancane yield 901.4 q/ha, sucrose 18.01%,maturity – mid-late (12 months), moderately resistant / resistant to prevalent races of red rot, less susceptible towards early shoot borer, stalk borer and top borer",
FIBRE CROPS,,,,,,,
,Cotton,CICR-H Bt Cotton 65 (ICAR -CICR 18 Bt),Hybrid,"ICAR-Central Institute of Cotton Research, Nagpur, Maharashtra",Central Zone,"Suitable forrainfed condition, yield 15.47 q/ha, maturity 140-150 days, resistant to most of the diseases viz; bacterial blight, grey mildew,Alternaria,Corynosporaleaf spot,Myrothcieum, tolerant to most of the pests viz; jassids, aphids, thrips, leaf hopper",
,Cotton,CICR- H Bt Cotton 40 (ICAR-CICR- PKV 081 Bt),Hybrid,"ICAR-Central Institute of Cotton Research, Nagpur, Maharashtra",South Zone,"Suitable forrainfed condition, yield 17.30 q/ha, maturity 140 to 150 days, resistant to jassids, thrips, whitefly, aphids, tolerant to bacterial leaf blight,Alternarialeaf blight, Gray mildew",
,Cotton,Shalini (CNH 17395) (CICR-H Cotton 58),Hybrid,"ICAR-Central Institute for Cotton Research, Nagpur, Maharashtra","Madhya Pradesh,Maharashtra & Gujarat","Suitable for rainfedKharifcondition, yield 14.41 q/ha, maturity 160 to 165days,brown linted naturally colour cotton suitable for handloom weaving,tolerant to sucking pests, bollworms, resistant to disease free forAlternarialeaf spot, bacterial blight,Corynesporaleaf spot in the Central Zone under rainfed conditions",
,Cotton,CNH-18529 (CICR-H NC Cotton 64),Hybrid,"ICAR-Central Institute for Cotton Research, Nagpur, Maharashtra","Chhattisgarh,Gujarat, Madhya Pradesh and Maharashtra)","Suitable forrainfed and irrigated conditionsof Central Zone, yield of 10.11 q/ha, maturity 160-165 days, tolerant to aphids, jassids, whitefly, thrips,Heliothis armigera, pink bollworms, resistant to moderately resistant toAlternarialeaf spot, grey mildew, bacterial blight,Corynesporaleafspot, rust",
,Cotton,PDKV Dhawal (AKA-2013-8),Hybrid,"AICRP on Cotton, Dr. Panjabrao Deshmukh Krishi Vidyapeeth, Akola, Maharashtra","Madhya Pradesh, Maharashtra and Gujrat","Suitable for timely sownKharifunderrainfed situation, yield 12.84 q/ha, maturity 160-180 days, tolerant to leaf hoppers, bacterial leaf blight,Myrotheciumleaf spot,Alternarialeaf spot,Grey mildew",
,White Jute,JRC 9,Variety,"ICAR-Central Research Institute for Jute and Allied Fibres, Barrackpore, Kolkata, West Bengal","West Bengal, Odisha, Bihar, Uttar Pradesh, Tripura and Assam","Suitable for timelysown rainfed/ irrigatedcondition, yield 31.97 q/ha, maturity110 – 120 days (fibre), 120-130 days (seed), fibre fineness - 1.74 tex, fibre strength - 13.88 g/tex, tolerant to stem rot and root rot, tolerant to yellow mite, Bihar hairy caterpillar, jute semilooper",
POTENTIAL CROPS,,,,,,,
,Buckwheat,Him Tara (EC125940),Variety,"ICAR - National Bureau of Plant Genetic Resources - Regional Station, Shimla, Himachal Pradesh",Northern Hill zone (Himachal Pradesh and Uttarakhand),"Suitablefor rainfedKharifhillyareas, seed yield 14.04 q/ha, maturity 92.06 days triangular dark brown seeds with protein content of 13.10% and low phenolic content, no disease or insect pest infestation reported",
,Amaranth,Him Gauri (IC037156),Variety,"ICAR - National Bureau of Plant Genetic Resources - Regional Station, Shimla, Himachal Pradesh",Northern Hills Zone (NHZ) Himachal Pradesh and Uttarakhand,"Suitable for grain purposes cultivation during rainfedKharifseason inmid to high hilly areas, seed yield 24.06 q/ha, maturity 128.46 days, significantlyhigher Lysine content (7.18 g/ 16g N), higher total protein content (13.52 %),no disease or insect pest infestation reported",
,Grain Amaranth,RMA 120 (Jodhpur Rajgira 2),Variety,"ICAR-All India Network Project (AINP) on Potential Crops, Agriculture University Jodhpur, Mandor, Rajasthan","WZ (Rajasthan, Gujarat, Maharashtra); NPZ (U.P.); EZ (Odisha, Jharkhand) and CZ (Chhattisgarh)","Suitable for plains areas of the country inRabiirrigated high fertility condition, 14.05 q/ha seed yield, maturity early (119-128 days),high protein content (12.60%), oil content (8.33%) and lysine 4.72%,no major disease and insect pest observed",
,Grain Amaranth,Gujarat Amaranth 8 (GA 8) SKNA 1407,Variety,"ICAR-AINP on Potential Crops, S.D. Agricultural University Sardarkrushinagar, Gujarat","WZ (Gujarat, Rajasthan, Maharashtra), NPZ (Utter Pradesh, CZ (Chhattisgarh), EZ Jharkhand and Odisha)","Suitable for cultivation in plain areas of the country in Rabi season, yield 14.55 q/ha, maturity 97 – 168 days (mean 127.33 days),protein content 12.21, oil content 8.09% and lysine content 5.03%, least incidence of insect pest and diseases",
,Grain Amaranth,VL Chua 140,Open Pollinated Variety,"ICAR - Vivekananda Parvatiya Krishi AnusandhanSansthan, Almora, Uttarakhand","Uttarakhand, Himachal Pradesh","Suitable forrainfedKharifecology, yield 16.86 q/ha, maturity 125-127 days, fertilizer responsive, no major insect pests and disease incidence was reported at any of the location",
